Point,Point,Accepted,Rejected,Residual,3-d,3-d,3-d,Sigma,Sigma,Sigma,Correction,Correction,Correction,Coordinate,Coordinate,Coordinate
AS15_000032693,FREE,2,0,  0.19,     27.81662448,      2.33173019,   1736.00291223,     62.37264909,     48.95354958,     80.50298933,   1243.30906517,  -1538.66864316,    252.73310628,   1534.12887828,     62.46796521,    810.09409912
AS15_000032695,FREE,2,0,  0.23,     25.81453564,      2.10647222,   1735.52012430,     51.71857253,     43.81415151,     70.93084130,    866.66925537,  -1553.94412700,     -1.43584823,   1561.27391950,     57.42591745,    755.74871098
AS15_000032704,FREE,2,0,  0.33,     27.99529801,      1.93185048,   1736.41084975,     61.38758905,     50.41796103,     77.21328678,   1280.92264546,  -1541.50605036,    358.10747715,   1532.35523510,     51.68624171,    815.06969335
AS15_000032716,FREE,2,0,  0.26,     23.96928471,      3.20492613,   1736.92935432,     61.68231348,     47.78769268,     74.56635184,    963.51740276,  -1509.66986102,      2.65493545,   1584.66006938,     88.73292350,    705.62207641
AS15_000032722,FREE,3,1,  0.12,     26.25898064,      2.98222886,   1735.43496398,     50.23436486,     36.40466778,     61.17324893,    893.59863790,  -1381.44849250,    -89.76384380,   1554.23625924,     80.97068497,    767.80721073
AS15_000032726,FREE,2,0,  0.57,     25.69277193,      2.24962038,   1735.40304315,     51.45613761,     42.67563768,     70.37166438,    848.59033813,  -1526.03292339,    -33.79332630,   1562.62148530,     61.38519601,    752.37601874
AS15_000032728,FREE,2,0,  0.31,     25.68312515,      5.36423806,   1736.78874740,     58.36419482,     45.01413265,     56.94563102,    818.64187396,  -1188.52177347,   -648.19042159,   1558.34740162,    146.32590282,    752.71326488
AS15_000032734,FREE,2,0,  0.09,     27.12086561,      4.80922405,   1735.03645397,     60.12651188,     44.60219746,     71.87021681,   1127.92709094,  -1090.07238437,   -599.88264650,   1538.82695387,    129.46839577,    790.94945298
AS15_000032744,FREE,3,1,  0.31,     24.76206109,      2.15886454,   1735.21371248,     56.25560076,     44.29951706,     73.33316271,    830.30775425,  -1433.82723938,    115.71203472,   1574.55114869,     59.35606855,    726.79582089
AS15_000032772,FREE,2,0,  0.13,     23.76973178,      0.66930772,   1735.55550398,     73.41003860,     65.00016477,     87.11563628,    672.04600937,  -1647.18733452,     15.57943435,   1588.22468915,     18.55388670,    699.53627315
AS15_000032783,FREE,2,0,  0.32,     23.79429686,      5.19681681,   1736.10874671,     66.53311926,     55.59502567,     67.05513278,    729.11305617,  -1269.46935644,   -871.50750015,   1582.00941306,    143.88551575,    700.44040128
AS15_000032822,FREE,3,1,  0.09,     26.31934963,      3.59836368,   1735.26474366,     50.92567796,     36.17378639,     60.11112700,    894.86287408,  -1308.74879330,   -222.03964644,   1552.31515485,     97.61888327,    769.37113557
AS15_000032835,FREE,2,0,  0.08,     25.66270831,      0.74515156,   1735.74327311,     59.22519806,     54.87816506,     77.79749715,    834.17107633,  -1638.59921134,    289.46204442,   1564.39565541,     20.34665730,    751.70270520
AS15_000032870,FREE,2,0,  0.05,     27.09622183,      0.78709721,   1735.83109678,     62.53465349,     56.24429734,     81.75407478,   1068.49059637,  -1647.06883974,    493.95110057,   1545.16539771,     21.22794907,    790.64711752
AS15_000032877,FREE,2,0,  0.11,     25.26481965,      2.67676901,   1735.21405046,     51.96042831,     39.12174021,     69.77433020,    794.40209991,  -1417.41473203,    -30.58805678,   1567.51957242,     73.28538298,    740.59398028
AS15_000032977,FREE,3,1,  0.04,     27.10501810,      1.64695348,   1735.64568892,     57.89595234,     46.81639788,     77.57665920,   1086.08916179,  -1591.80193195,    282.52891269,   1544.38650922,     44.40525179,    790.79987431
AS15_000032984,FREE,2,0,  0.58,     24.35170450,      1.73354444,   1735.77704944,     61.13603576,     50.05120494,     77.05167261,    698.86816037,  -1524.32412517,   -124.88370156,   1580.62390406,     47.83804729,    715.72450043
AS15_000032998,FREE,2,0,  0.56,     26.24512109,      5.67581191,   1736.69058456,     60.85172321,     47.20991319,     60.84964143,    902.69166266,  -1156.41438981,   -652.84383602,   1550.01930026,    154.05164372,    767.98596757
AS15_000032999,FREE,2,0,  0.17,     25.43599653,      5.66749705,   1736.78206052,     61.09618432,     48.48175929,     67.20304733,    784.78027460,  -1128.65821670,   -907.87367700,   1560.76132481,    154.89052613,    745.95236955
AS15_000033003,FREE,2,0,  0.48,     23.64363007,      3.89133789,   1736.78303065,     62.81104256,     51.31620150,     69.57850949,    560.79998950,  -1352.72817963,   -864.29245896,   1587.32534432,    107.97189746,    696.53113081
AS15_000033005,FREE,3,1,  0.34,     28.18113167,      3.60352727,   1735.50465036,     62.09656770,     47.49864191,     75.51558614,    935.63664896,  -1820.50888423,     49.56894539,   1526.75165162,     96.14943507,    819.61031707
AS15_000033007,FREE,3,1,  0.48,     24.24262663,      1.79104870,   1735.74024096,     61.98309715,     50.44239951,     77.55801625,    706.88246074,  -1549.64641975,   -151.56859836,   1581.90059239,     49.46584635,    712.69757257
AS15_000033009,FREE,3,0,  0.20,     27.88469704,      2.42302074,   1735.90530079,     59.20673943,     46.68839332,     74.51389577,   1269.01674856,  -1461.64234620,    187.41924277,   1532.97851184,     64.86786053,    811.87206887
AS15_000033010,FREE,2,0,  0.10,     26.85834559,      5.70355236,   1736.35906975,     62.75281141,     49.15927895,     63.55334211,   1080.29822619,   -972.19170962,   -854.26392009,   1541.38272981,    153.94696866,    784.46314775
AS15_000033014,FREE,3,1,  0.39,     25.59657898,      4.92978895,   1736.90032307,     55.53192857,     41.84591066,     66.02086962,    828.72184506,  -1263.51110039,   -672.36131350,   1560.64337118,    134.61173602,    750.39634914
AS15_000033020,FREE,2,0,  0.12,     24.94867555,      4.12765446,   1737.18425127,     53.49222513,     40.54125892,     57.53703611,    724.93589160,  -1296.92951706,   -622.33757352,   1570.99512337,    113.37251177,    732.75515610
AS15_000033022,FREE,3,0,  0.09,     27.57184930,      4.15848213,   1735.32288235,     58.37177087,     43.08694571,     68.59586744,   1252.75236547,  -1297.18548043,   -313.66546702,   1534.19441377,    111.54654582,    803.21253407
AS15_000033036,FREE,2,0,  0.08,     25.73898416,      5.34599923,   1736.80943176,     58.17413187,     46.20587156,     68.30390970,    857.83559309,  -1186.87510270,   -610.72460363,   1557.68106676,    145.76312552,    754.24784239
AS15_000033038,FREE,3,1,  0.12,     25.75441600,      5.87628341,   1736.68070410,     62.32886386,     49.87626031,     59.62078004,    832.00628219,  -1135.77854020,   -691.14796188,   1555.94783778,    160.14066002,    754.61325400
AS15_000033042,FREE,2,0,  0.55,     24.33602471,      5.09948547,   1735.94717678,     62.15265629,     50.27557725,     62.20045830,    748.02983125,  -1259.85826363,   -750.02989569,   1575.43789590,    140.58982580,    715.36182286
AS15_000033045,FREE,2,0,  0.21,     26.07207711,      4.90876123,   1737.25289997,     54.98268468,     40.97657862,     56.78557989,    854.49651098,  -1217.06171226,   -372.48492467,   1554.74982913,    133.52856967,    763.52519823
AS15_000033079,FREE,4,2,  0.10,     27.64144877,      3.17047604,   1735.61361064,     56.86476476,     42.72911445,     70.19680790,   1171.31314223,  -1386.13138048,     82.00288775,   1535.17154749,     85.03590551,    805.21538734
AS15_000033086,FREE,3,1,  0.04,     25.05252051,      2.26570156,   1735.32090602,     53.91942379,     41.95382174,     71.68093447,    781.08155652,  -1471.03988507,    -63.02621143,   1570.83295860,     62.14934146,    734.81965299
AS15_000033090,FREE,2,0,  0.02,     24.46349686,      1.72422461,   1735.79375452,     60.12901457,     49.31782870,     76.38130880,    674.74533768,  -1537.76006365,   -179.66429688,   1579.24800547,     47.53928802,    718.81549201
AS15_000033092,FREE,2,0,  0.17,     26.78234308,      1.71341454,   1735.58338256,     55.55308292,     44.85279561,     75.44383855,    992.76051736,  -1501.30892462,    228.36918916,   1548.70543955,     46.32742151,    782.05812403
AS15_000033104,FREE,2,0,  0.41,     27.14871221,      4.26536375,   1735.27065685,     58.24089128,     41.86599827,     72.99656574,   1058.63777123,  -1293.79573834,   -156.53964113,   1539.81083696,    114.84289709,    791.80676171
AS15_000033111,FREE,3,0,  0.03,     25.69699064,      2.91951071,   1735.27057687,     50.33010208,     37.11851109,     68.55063832,    839.37260695,  -1401.46334042,   -141.47772690,   1561.62245591,     79.64152796,    752.43372277
AS15_000033118,FREE,2,0,  0.32,     24.25671638,      1.01886145,   1735.44545737,     65.95411845,     57.55744944,     81.46358764,    687.42307377,  -1615.11812738,     -8.67710616,   1581.97957445,     28.13449659,    712.96564547
AS15_000033119,FREE,2,0,  0.19,     25.28608161,      1.25281664,   1735.62416492,     57.09909421,     49.63139745,     75.41271522,    785.99545892,  -1563.50912777,    140.56648322,   1568.95251455,     34.31183155,    741.35143296
AS15_000033120,FREE,2,0,  0.03,     26.14208189,      0.91628072,   1735.69856183,     57.85635018,     52.41452764,     77.16381047,    900.63424330,  -1626.37869337,    302.05163771,   1557.94466897,     24.91695507,    764.74639672
AS15_000033125,FREE,3,1,  0.00,     25.73689684,      1.61199551,   1735.53209790,     53.86255639,     44.55090186,     65.92462699,    846.61998319,  -1572.80663570,    110.09863039,   1562.74439234,     43.97883865,    753.63617801
AS15_000033137,FREE,3,1,  0.76,     23.67600590,      2.60123461,   1735.92403419,     62.47584233,     51.56553591,     72.28885067,    739.73350902,  -1463.91206092,   -322.82297215,   1588.17460923,     72.15287953,    697.08509167
AS15_000033138,FREE,2,0,  0.04,     26.11137487,      3.03711350,   1735.34666801,     50.09967944,     36.20312531,     60.62943170,    876.89118251,  -1387.57633147,   -135.92478314,   1556.04890202,     82.55980529,    763.75634285
AS15_000033341,FREE,2,0,  0.26,     27.92960185,      2.95762570,   1735.74655199,     62.94109724,     45.69089020,     80.34873139,   1228.44944690,  -1278.97901737,     95.55104089,   1531.53054461,     79.12837197,    812.99999042
AS15_000033342,FREE,2,0,  0.19,     27.73424316,      2.72750891,   1735.79854657,     60.80164363,     44.41979529,     78.90226569,   1202.23572091,  -1320.49799402,     87.68001223,   1534.64196079,     73.11034718,    807.79051964
AS15_000033347,FREE,2,0,  0.53,     26.27185252,      4.80453818,   1737.49147798,     54.48247423,     40.22538683,     58.40890397,    888.61703596,  -1189.46741901,   -446.52925560,   1552.54102667,    130.49435128,    769.06711075
AS15_000033360,FREE,3,1,  0.99,     27.12765259,      0.40713017,   1735.98206610,     80.48150659,     63.12681491,    148.31865360,    862.09719084,  -1703.16086283,    642.39655034,   1544.97260739,     10.97839237,    791.56354839
AS15_000033362,FREE,2,0,  0.75,     27.52415195,      4.41722070,   1735.78721880,     58.86341547,     44.23193166,     67.90066575,    991.07752720,  -1219.68931079,    -26.77160098,   1534.75174106,    118.55673415,    802.14628532
AS15_000033370,FREE,2,0,  0.24,     26.99271382,      2.63301813,   1735.53150001,     52.94350046,     39.87330627,     66.05876089,   1032.19785435,  -1428.43550775,     72.49807056,   1544.83740763,     71.04276662,    787.71815825
AS15_000033381,FREE,2,0,  0.07,     27.56351299,      3.47263449,   1735.34950403,     56.16267706,     42.09665572,     67.74332872,   1191.38356704,  -1353.12836876,    -68.55258040,   1535.55990292,     93.18273343,    803.00103604
AS15_000033383,FREE,2,0,  0.37,     27.84870772,      3.45453296,   1735.52379675,     63.65632446,     47.99088730,     80.30211681,   1169.02153936,  -1389.57007237,    194.31708346,   1531.73434113,     92.46489046,    810.72991887
AS15_000033438,FREE,2,0,  0.29,     27.08324493,      2.75940407,   1735.58254351,     54.74153353,     39.87576184,     73.65095478,   1013.90572688,  -1341.44436682,     79.93015307,   1543.47720214,     74.39244689,    790.18393788
AS15_000055052,FREE,2,0,  0.20,     24.41491874,      7.03360694,   1734.43662836,     79.04895621,     67.47502030,     77.54637631,    868.10206217,  -1128.04619276,   -861.21893135,   1567.45118115,    193.39212430,    716.91470817
AS15_000055093,FREE,3,1,  0.10,     27.06892079,      6.94455122,   1735.29350506,     74.97340910,     62.37976086,     70.37832339,   1058.55079489,   -953.14357883,   -831.31852167,   1533.87283828,    186.82927552,    789.66606011
AS15_000055094,FREE,2,0,  0.28,     24.08351905,      5.99689710,   1735.59211468,     72.32020238,     59.36915845,     75.92481497,    810.42552392,  -1130.53876141,   -856.71214332,   1575.84043541,    165.54122066,    708.23937685
AS15_000055096,FREE,3,1,  0.85,     25.34992731,      5.55945570,   1736.27251508,     60.67022465,     47.98962298,     59.18211326,    779.59577731,  -1171.39226527,   -862.26563336,   1561.70583864,    152.01093685,    743.37728997
AS15_000055101,FREE,3,0,  0.19,     24.61746860,      5.65038294,   1735.74852210,     64.40974936,     52.16884032,     63.15723959,    769.88926342,  -1188.47016646,   -809.27633192,   1570.31775853,    155.36525458,    723.03990685
AS15_000055103,FREE,2,0,  0.36,     25.92287137,      5.93596487,   1736.68150926,     62.84130734,     50.01352035,     69.64748208,    870.13313598,  -1117.44045898,   -692.46899066,   1553.56744136,    161.53123857,    759.20914689
AS15_000055107,FREE,2,0,  2.26,     24.26084488,      6.78519345,   1734.79746351,     76.43303330,     65.71588904,     69.16699517,    719.27968955,  -1136.79186188,  -1185.50546525,   1570.51026472,    186.86039693,    712.81339766
AS15_000055109,FREE,2,0,  0.38,     26.04101177,      6.76789556,   1736.91905529,     70.39667841,     58.28634747,     72.35395559,    856.36529831,  -1033.74279622,   -742.65407350,   1549.71244899,    183.91138591,    762.53244665
AS15_000055125,FREE,4,2,  0.25,     25.43199843,      5.37577733,   1736.48621099,     59.05671328,     45.83313625,     66.88155483,    797.02585274,  -1185.21157165,   -672.87708899,   1561.31552657,    146.92182890,    745.71587326
AS15_000055141,FREE,2,0,  0.26,     26.15311677,      5.11640779,   1737.02329635,     56.82963262,     44.81033993,     68.80749979,    933.36497112,  -1261.89708003,   -620.75742535,   1552.97323317,    139.04744717,    765.63037854
AS15_000055142,FREE,4,1,  0.16,     24.35233248,      4.81529499,   1736.18031705,     60.46085966,     48.10308874,     62.99693738,    662.04655030,  -1291.56842394,   -907.46310908,   1576.12454024,    132.77459509,    715.90811833
AS15_000055172,FREE,3,0,  0.16,     24.65073996,      5.40448269,   1735.91190257,     62.39912991,     49.96306686,     62.50551331,    784.54070847,  -1199.54135833,   -712.64140968,   1570.69965345,    148.59881860,    724.02425600
AS15_000055185,FREE,2,0,  0.10,     25.92192481,      5.56317955,   1736.71332471,     59.83397098,     47.23863444,     68.88727142,    887.09601120,  -1188.96595358,   -734.34296923,   1554.62648985,    151.42385624,    759.19725041
AS15_000055189,FREE,3,1,  0.16,     24.59431141,      4.46870942,   1737.04821282,     57.93280661,     44.83597243,     69.01009365,    847.76019364,  -1393.20970870,   -613.94977598,   1574.65724144,    123.06296556,    722.94299371
AS15_000055193,FREE,2,0,  0.15,     23.31111707,      6.30596717,   1735.00886823,     79.40610368,     68.71168611,     76.28013786,    665.45346779,  -1199.31102404,  -1283.51911284,   1583.73872119,    175.01333622,    686.58413031
AS15_000055197,FREE,2,0,  0.22,     23.82229109,      5.19908943,   1736.16509097,     69.51978183,     56.87102527,     76.67912276,    755.29811731,  -1194.91271551,   -841.04782355,   1581.71402649,    143.92190733,    701.23922173
AS15_000055206,FREE,2,0,  0.12,     25.29776709,      6.11201817,   1736.39673995,     65.26833684,     53.05158705,     70.19289792,    818.01708005,  -1098.07079686,   -700.30854394,   1560.95116441,    167.14872306,    742.00162077
AS15_000055208,FREE,2,0,  0.08,     23.37524569,      5.41404558,   1735.95676183,     76.07356419,     62.07177020,     81.14465518,    779.50840047,  -1176.86210377,   -924.43505169,   1586.37133437,    150.34861127,    688.74317677
AS15_000055210,FREE,2,0,  0.26,     25.55501063,      5.20877943,   1737.20470391,     57.26354841,     44.04450183,     57.85504328,    799.39285192,  -1173.31563288,   -655.12597671,   1560.78463409,    142.28367207,    749.39099671
AS15_000055254,FREE,2,0,  0.16,     24.21908743,      5.64850212,   1735.64419623,     66.64226566,     55.31205118,     63.99868594,    737.20562493,  -1232.65041731,   -901.30676266,   1575.19310901,    155.79540158,    712.00789185
AS15_000055255,FREE,2,0,  0.36,     25.70757796,      5.95906386,   1736.58035961,     63.09697072,     50.42357836,     58.44615334,    815.36062491,  -1145.86636566,   -713.57023200,   1556.23794674,    162.44311455,    753.29080243
AS15_000055256,FREE,2,0,  0.10,     24.77413461,      5.35675014,   1735.93234650,     61.39157524,     49.02578275,     59.64354540,    778.12068294,  -1234.64934303,   -682.04404585,   1569.28526434,    147.14605406,    727.42897215
AS15_000055257,FREE,2,0,  0.03,     24.37679434,      5.08064810,   1735.94001165,     61.78796777,     49.83121869,     61.87877349,    731.24772986,  -1259.72366454,   -783.56181912,   1574.97010749,    140.02616342,    716.48416461
AS15_000055258,FREE,2,0,  0.04,     24.42673587,      5.25967006,   1735.81173659,     62.64875596,     50.71229785,     61.73604144,    763.73542171,  -1246.28762726,   -736.48422284,   1573.78611610,    144.87849061,    717.80907532
AS15_000055259,FREE,3,1,  0.41,     25.73513768,      5.06673891,   1737.01072143,     56.16908268,     42.53243188,     57.72732282,    827.94719564,  -1203.38004977,   -417.02743304,   1558.60406264,    138.18975338,    754.23021309
AS15_000055260,FREE,2,0,  0.20,     23.33251225,      4.69599527,   1736.56849397,     68.91619835,     57.55315877,     73.69661369,    721.32980060,  -1286.04529243,   -848.16486224,   1589.20227524,    130.54438200,    687.79679189
AS15_000055262,FREE,2,0,  0.16,     24.32958427,      4.50412722,   1736.26296594,     58.97791983,     46.91147607,     62.04551982,    719.21384182,  -1308.09832428,   -694.95727656,   1577.18069092,    124.24112654,    715.31412511
AS15_000055263,FREE,2,0,  0.40,     24.66789552,      6.54697074,   1735.40531165,     71.82500277,     60.57237296,     65.49713861,    768.11443238,  -1153.34005493,   -966.72653187,   1566.75170664,    179.81001785,    724.28519448
AS15_000055264,FREE,2,0,  0.70,     26.33859017,      7.07456765,   1736.06729804,     73.90278176,     62.25725199,     66.46580080,    893.59241476,  -1000.70707142,   -899.14150353,   1543.99725703,    191.61908353,    770.24947934
AS15_000055265,FREE,2,0,  0.18,     23.88446852,      6.02164873,   1735.20159728,     72.36806609,     61.09563247,     69.70349253,    788.42885002,  -1209.67539811,   -935.52279048,   1577.85106533,    166.44161715,    702.57226455
AS15_000055266,FREE,2,0,  0.24,     24.66969826,      6.12737774,   1735.39497446,     68.16677067,     56.35598134,     64.12439099,    774.53041889,  -1171.70583213,   -867.65848941,   1567.99448195,    168.32810299,    724.33049894
AS15_000055267,FREE,3,1,  0.01,     25.02755377,      5.99812221,   1735.83829377,     65.60261246,     53.32111302,     70.86002920,    679.43528024,  -1134.48656148,  -1346.75758941,   1564.23993726,    164.35641050,    734.35343747
AS15_000055268,FREE,3,1,  0.13,     25.97756068,      6.26408996,   1736.58193550,     65.65104679,     53.01756919,     61.78004420,    859.04727691,  -1088.91003396,   -776.89697480,   1551.80687194,    170.33669465,    760.65607298
AS15_000055269,FREE,2,0,  0.12,     23.35513759,      5.38271153,   1736.02542686,     76.12472705,     62.11746265,     81.29121216,    741.50820788,  -1193.95615207,   -974.46666399,   1586.75663377,    149.50960957,    688.21111916
AS15_000055270,FREE,2,0,  0.22,     26.34020010,      5.49505347,   1736.59113193,     59.67253634,     45.73796122,     60.91185620,    956.24473584,  -1198.41191072,   -763.59435320,   1549.13816959,    149.03005883,    770.52562098
AS15_000055271,FREE,2,0,  0.85,     24.31601031,      5.16352226,   1735.85126117,     63.05262977,     50.88191851,     64.52369064,    708.51217826,  -1257.91751312,   -870.65871351,   1575.44150722,    142.36514463,    714.76976981
AS15_000055273,FREE,3,1,  0.27,     24.36310711,      4.66289032,   1736.16366205,     61.18341597,     48.04393836,     69.84218423,    720.90994782,  -1294.40382933,   -729.46789703,   1576.32280710,    128.56951691,    716.19867953
AS15_000055276,FREE,2,0,  0.04,     26.77791260,      8.26625176,   1734.25839761,     89.07969659,     79.64275462,     84.24758297,    994.69982167,   -830.60403902,  -1100.74687157,   1532.19018630,    222.60075977,    781.34136230
AS15_000055277,FREE,2,0,  0.48,     26.88957847,      7.94802202,   1733.91861386,     86.30593475,     75.28101561,     83.22761865,    999.42359249,   -890.39596940,   -963.28385472,   1531.59170287,    213.83447271,    784.20369388
AS15_000055278,FREE,2,0,  0.05,     27.28467624,      8.17305670,   1733.90478876,     90.94223849,     79.63609153,     87.19667903,   1084.07768262,   -826.23873379,   -983.42678955,   1525.33876911,    219.07253960,    794.84254938
AS15_000055279,FREE,2,0,  0.30,     24.04309871,      7.34854091,   1734.26666101,     84.96327348,     73.61081325,     81.24472572,    654.11043274,  -1027.22639269,  -1476.00051065,   1570.79173487,    202.57582053,    706.58135703
AS15_000055280,FREE,2,0,  0.59,     25.20742684,      7.46417410,   1734.52116782,     79.34812310,     69.15988321,     76.47365218,    800.73472201,  -1016.55253201,  -1108.78860155,   1556.04773967,    203.86782331,    738.72662338
AS15_000055281,FREE,2,0,  0.04,     27.52467583,      7.35015957,   1734.13596470,     84.38932430,     69.26915136,     84.82245512,   1122.39013343,   -934.21151537,   -741.58019793,   1525.21558414,    196.74193645,    801.39726503
AS15_000055282,FREE,3,1,  0.01,     24.37261899,      6.66520098,   1735.15215314,     75.63758780,     63.50054040,     76.06695587,    825.36843192,  -1178.63915545,   -902.82304024,   1569.83488682,    183.44667611,    716.04381130
AS15_000055283,FREE,2,0,  0.30,     27.03630146,      6.70766180,   1735.17919081,     74.40074086,     59.47634660,     77.88523833,   1080.44614706,  -1014.13093013,   -791.32977095,   1534.97728924,    180.52648797,    788.73425998
AS15_000055285,FREE,2,0,  0.07,     23.39728028,      5.37791391,   1736.05061367,     75.55832720,     61.66914134,     80.84372682,    796.50634086,  -1170.02772240,   -887.41722119,   1586.28776125,    149.33142616,    689.39320920
AS15_000055287,FREE,2,0,  0.02,     25.26082410,      5.56290075,   1736.02039970,     61.13161004,     49.05364845,     69.34456105,    811.23989788,  -1170.64155206,   -732.96192646,   1562.61848836,    152.19461778,    740.82864841
AS15_000055290,FREE,2,0,  0.53,     24.23721886,      4.87853824,   1736.05988364,     63.59456816,     52.44654103,     73.49436346,    761.56678204,  -1225.80355710,   -722.64515946,   1577.29755021,    134.62695551,    712.67940938
AS15_000055291,FREE,2,0,  0.03,     25.25715787,      4.39337346,   1737.06229121,     53.58858188,     45.78486278,     68.79831139,    827.99416360,  -1254.20278615,   -419.80153350,   1566.38614173,    120.34461358,    741.17274135
AS15_000055293,FREE,2,0,  0.44,     26.94090094,      4.77700520,   1737.07367941,     58.71310688,     45.81725295,     72.92513872,   1134.14503824,  -1375.19682447,   -519.02701895,   1543.17746777,    128.96055526,    787.01807212
AS15_000055294,FREE,2,0,  0.58,     27.52783770,      5.05599344,   1735.78641927,     66.21525927,     49.74661694,     78.46550792,   1706.41011119,  -1632.32383275,  -1192.36879750,   1533.28252836,    135.65486916,    802.24493642
AS15_000055319,FREE,2,0,  0.19,     23.36996795,      4.15945728,   1736.90024666,     66.07431732,     54.83221505,     72.40337078,    739.97881047,  -1329.93540500,   -710.18593364,   1590.20999105,    115.64647372,    688.97064114
AS15_000055325,FREE,2,0,  0.61,     25.72791702,      6.44739307,   1736.68355150,     67.37335946,     56.75516420,     69.46140487,    823.10044335,   -891.19059700,  -1350.41020901,   1554.62350717,    175.68119671,    753.89099086
AS15_000055330,FREE,2,0,  0.23,     25.30174771,      3.71541472,   1737.34277105,     50.87545805,     37.60599800,     58.45494064,    816.95233117,  -1296.08361833,   -183.81902988,   1567.37741354,    101.78120479,    742.51500590
AS15_000055334,FREE,2,0,  0.69,     23.97809428,      6.92958358,   1734.28817609,     81.69755662,     71.73665702,     79.61629058,    634.65742472,  -1070.65671928,  -1431.28973295,   1573.04529265,    191.18355444,    704.79275927
AS15_000055395,FREE,2,0,  0.67,     24.20678898,      4.01148510,   1737.39408003,     59.72587971,     47.21777213,     71.88174724,    707.79654974,  -1335.61967818,   -627.92346134,   1580.74542783,    110.85490697,    712.38561981
AS15_000055396,FREE,2,0,  0.22,     24.20465536,      4.16777680,   1737.19119287,     58.08060169,     46.46228112,     62.43265940,    490.15106093,  -1289.76845396,  -1093.98429445,   1580.27905228,    115.15493293,    712.24342673
AS15_000055406,FREE,4,2,  0.19,     26.21544782,      2.95408215,   1735.39147969,     50.42468222,     37.45921510,     68.68092658,    916.36814271,  -1429.26067918,   -117.72631289,   1554.81903830,     80.23518334,    766.60528389
AS15_000055411,FREE,3,1,  0.18,     27.20106754,      5.11325142,   1735.31331438,     60.70359427,     45.90686002,     65.48197810,   1149.77372161,  -1121.37599359,   -594.87802390,   1537.25929773,    137.55511521,    793.23687563
AS15_000055416,FREE,3,1,  0.05,     27.83989505,      4.04874927,   1735.50412780,     59.40315620,     45.13999470,     69.94958606,   1266.28163312,  -1250.78784190,   -173.05809376,   1530.80004765,    108.35287269,    810.48469863
AS15_000055431,FREE,2,0,  0.22,     26.82845272,      3.72577647,   1735.36931657,     54.19092746,     40.61795696,     71.49309112,   1012.76226782,  -1362.54745450,    -83.35594027,   1545.30435555,    100.62848587,    783.20815971
AS15_000055439,FREE,2,0,  0.50,     23.52658042,      5.36884475,   1735.81151765,     73.75867087,     59.28656575,     78.51929505,    901.58445450,  -1271.73718447,   -717.91771915,   1584.54014358,    148.91387671,    692.89163331
AS15_000055444,FREE,2,0,  0.52,     25.03006457,      5.99275156,   1735.82432546,     65.61013908,     53.75278927,     69.47311011,    690.28561325,  -1059.84831724,  -1263.78517006,   1564.21074283,    164.20510355,    734.41645191
AS15_000055448,FREE,2,0,  0.11,     24.22161410,      4.88215234,   1736.05587915,     63.60174400,     49.79462358,     72.01767536,    759.22775035,  -1257.95937803,   -713.61583017,   1577.47875498,    134.74265145,    712.24659425
AS15_000055461,FREE,2,0,  1.46,     28.37624802,      4.48978541,   1735.79998683,     65.38685687,     51.50383804,     76.23345762,   1239.60915945,  -1178.81152751,      8.82402278,   1522.54947684,    119.55412758,    824.95545058
AS15_000055462,FREE,3,1,  0.15,     25.73311331,      4.10258043,   1735.89754540,     51.81557519,     40.78316513,     66.55500020,    836.37746486,  -1255.21654377,   -699.91007180,   1559.73507266,    111.87380723,    753.69160969
AS15_000055463,FREE,2,0,  0.70,     25.65523185,      4.22739651,   1736.32985036,     52.16268543,     37.96152929,     56.14642823,    805.06336785,  -1241.19521464,   -908.12844114,   1560.89654207,    115.37548539,    751.75250688
AS15_000055464,FREE,2,0,  0.71,     26.23011100,      4.09000822,   1736.07414340,     51.70930106,     36.97387441,     57.31764744,    907.32336375,  -1264.19926188,   -411.77391538,   1553.33793833,    111.07237361,    767.30542064
AS15_000055470,FREE,2,0,  0.28,     27.91248397,      3.66073171,   1735.31853313,     59.11576059,     45.11424911,     71.18607557,   1241.27209249,  -1308.30363780,     -7.01710753,   1530.30910653,     97.90749707,    812.34141339
AS15_000055471,FREE,2,0,  0.25,     25.11234159,      3.57648169,   1737.28272195,     51.29628706,     38.32469116,     57.59955695,    765.19846408,  -1352.30609733,   -389.00385730,   1570.00656749,     98.12946297,    737.29318628
AS15_000055472,FREE,2,0,  0.33,     25.03746251,      3.51969765,   1737.35333329,     51.48732961,     38.70273438,     57.97525925,    761.58525656,  -1354.78754375,   -375.04768152,   1571.12730465,     96.63643058,    735.26661666
AS15_000055474,FREE,2,0,  0.79,     28.41185780,      3.38147516,   1735.58547234,     63.07987991,     49.79165793,     77.48491948,   1380.34261456,  -1353.74490993,    124.21250544,   1523.87663863,     90.04052568,    825.80241327
AS15_000055475,FREE,3,1,  0.22,     27.44826915,      2.97325102,   1735.57811264,     55.42222819,     41.59701156,     68.79177676,   1200.19607687,  -1477.31712286,    -11.41866798,   1538.12619864,     79.88973740,    800.01050742
AS15_000055476,FREE,2,0,  0.45,     27.77206443,      3.28674354,   1735.60007150,     57.40007649,     43.80522265,     70.15684443,   1177.45583751,  -1356.27907482,    111.69498238,   1533.14727209,     88.04481834,    808.71203789
